lat,lon,ta_avg,td_avg,hm_avg
35.989051,128.832376,13.6,7.3,72.0
35.993651,128.832576,13.7,7.3,70.0
35.998251,128.832777,13.7,7.3,71.0
36.002851,128.832977,13.5,7.2,72.0
36.007451,128.833178,13.2,7.1,72.0
36.012052,128.833378,13.3,7.1,72.0
36.016652,128.833579,13.6,7.3,71.0
36.021252,128.833779,13.6,7.2,70.0
36.025852,128.83398,13.6,7.3,71.0
36.030453,128.83418,13.5,7.2,72.0
36.035053,128.834381,13.4,7.1,72.0
36.039654,128.834581,13.2,7.1,72.0
36.044254,128.834782,13.1,7.0,73.0
36.048855,128.834983,12.9,6.9,73.0
36.053455,128.835183,12.9,6.9,73.0
36.058056,128.835384,12.7,6.8,73.0
36.062657,128.835585,12.4,6.6,72.0
36.067258,128.835786,12.2,6.4,72.0
36.071858,128.835987,12.1,6.3,72.0
36.076459,128.836187,12.1,6.3,72.0
36.08106,128.836388,12.0,6.3,72.0
36.085661,128.836589,12.0,6.2,71.0
36.090262,128.83679,12.4,6.2,70.0
36.094863,128.836991,12.6,6.2,69.0
36.099465,128.837192,12.7,6.1,68.0
36.104066,128.837393,12.5,5.9,68.0
36.108667,128.837594,12.7,6.1,67.0
36.113268,128.837795,12.7,6.1,68.0
35.96589,128.837033,13.7,7.4,71.0
35.970489,128.837233,13.6,7.3,72.0
35.975089,128.837434,13.6,7.3,72.0
35.979689,128.837635,13.2,7.2,72.0
35.984289,128.837835,12.9,7.0,73.0
35.988888,128.838036,13.1,7.1,73.0
35.993488,128.838237,13.5,7.3,72.0
35.998088,128.838438,13.5,7.3,72.0
36.002688,128.838638,13.3,7.1,72.0
36.007288,128.838839,13.0,7.0,73.0
36.011889,128.83904,13.1,7.0,73.0
36.016489,128.839241,13.6,7.3,71.0
36.021089,128.839442,13.6,7.2,70.0
36.025689,128.839643,13.6,7.3,71.0
36.03029,128.839844,13.4,7.2,72.0
36.03489,128.840045,13.2,7.0,72.0
36.03949,128.840246,12.9,6.9,73.0
36.044091,128.840447,12.8,6.9,73.0
36.048692,128.840648,12.8,6.9,73.0
36.053292,128.840849,12.8,6.9,73.0
36.057893,128.84105,12.7,6.8,73.0
36.062494,128.841251,12.6,6.7,73.0
36.067094,128.841453,12.4,6.6,72.0
36.071695,128.841654,12.2,6.4,72.0
36.076296,128.841855,12.0,6.3,72.0
36.080897,128.842056,12.0,6.3,72.0
36.085498,128.842258,11.9,6.2,72.0
36.090099,128.842459,11.9,6.2,72.0
36.0947,128.84266,12.1,6.2,71.0
